Query,File,Itemset,Frequency,Duration
Q1,anneal.dat,6891790,0.2,15001
Q2,anneal.dat,620746,0.2,6999
Q3,anneal.dat,3,0.2,20647
Q4,anneal.dat,8578111,0.2,15001
Q5,anneal.dat,866553,0.2,5790
Q6,anneal.dat,4182,0.2,15026
Q7,anneal.dat,612561,0.2,8347
Q8,anneal.dat,16142,0.2,166
Q9,anneal.dat,604604,0.2,5727
Q1,anneal.dat,7744002,0.4,15001
Q2,anneal.dat,127376,0.4,1150
Q3,anneal.dat,244,0.4,15164
Q4,anneal.dat,8602203,0.4,15001
Q5,anneal.dat,137563,0.4,889
Q6,anneal.dat,5868,0.4,16301
Q7,anneal.dat,127322,0.4,1357
Q8,anneal.dat,434,0.4,5
Q9,anneal.dat,126942,0.4,1056
Q1,anneal.dat,7935187,0.6,15001
Q2,anneal.dat,18485,0.6,171
Q3,anneal.dat,986,0.6,2128
Q4,anneal.dat,8827330,0.6,15001
Q5,anneal.dat,18539,0.6,111
Q6,anneal.dat,3142,0.6,7150
Q7,anneal.dat,18433,0.6,207
Q8,anneal.dat,0,0.6,1
Q9,anneal.dat,18485,0.6,163
Q1,anneal.dat,215821,0.8,408
Q2,anneal.dat,1395,0.8,13
Q3,anneal.dat,147,0.8,73
Q4,anneal.dat,8756629,0.8,15001
Q5,anneal.dat,1394,0.8,7
Q6,anneal.dat,558,0.8,132
Q7,anneal.dat,1354,0.8,21
Q8,anneal.dat,0,0.8,1
Q9,anneal.dat,1395,0.8,14
Q1,chess.dat,5281752,0.2,15001
Q2,chess.dat,2366220,0.2,15001
Q3,chess.dat,10199,0.2,15007
Q4,chess.dat,7453665,0.2,15001
Q5,chess.dat,856935,0.2,15001
Q6,chess.dat,18566,0.2,15001
Q7,chess.dat,1589640,0.2,15001
Q8,chess.dat,2654739,0.2,15001
Q9,chess.dat,2159519,0.2,15001
Q1,chess.dat,5443096,0.4,15001
Q2,chess.dat,1361157,0.4,7379
Q3,chess.dat,38050,0.4,11850
Q4,chess.dat,7634243,0.4,15001
Q5,chess.dat,864288,0.4,15001
Q6,chess.dat,32281,0.4,15006
Q7,chess.dat,1358603,0.4,11088
Q8,chess.dat,250397,0.4,1421
Q9,chess.dat,1110760,0.4,6465
Q1,chess.dat,254944,0.6,709
Q2,chess.dat,98392,0.6,555
Q3,chess.dat,3323,0.6,593
Q4,chess.dat,7552756,0.6,15001
Q5,chess.dat,98418,0.6,1406
Q6,chess.dat,4735,0.6,1117
Q7,chess.dat,96959,0.6,784
Q8,chess.dat,12203,0.6,68
Q9,chess.dat,86189,0.6,484
Q1,chess.dat,8227,0.8,23
Q2,chess.dat,5083,0.8,29
Q3,chess.dat,226,0.8,25
Q4,chess.dat,7496825,0.8,15001
Q5,chess.dat,5083,0.8,55
Q6,chess.dat,405,0.8,36
Q7,chess.dat,4635,0.8,40
Q8,chess.dat,181,0.8,1
Q9,chess.dat,4902,0.8,26
Q1,connect.dat,863882,0.2,15001
Q2,connect.dat,193692,0.2,15001
Q3,connect.dat,1,0.2,40943
Q4,connect.dat,1597529,0.2,15001
Q5,connect.dat,87251,0.2,15001
Q6,connect.dat,785,0.2,15230
Q7,connect.dat,264108,0.2,15001
Q8,connect.dat,13877,0.2,641
Q9,connect.dat,224770,0.2,15001
Q1,connect.dat,751898,0.4,15001
Q2,connect.dat,202076,0.4,15001
Q3,connect.dat,1,0.4,28103
Q4,connect.dat,1676345,0.4,15001
Q5,connect.dat,82279,0.4,15001
Q6,connect.dat,729,0.4,15001
Q7,connect.dat,239181,0.4,13868
Q8,connect.dat,0,0.4,1
Q9,connect.dat,239372,0.4,13770
Q1,connect.dat,804338,0.6,15001
Q2,connect.dat,68343,0.6,4818
Q3,connect.dat,14,0.6,17509
Q4,connect.dat,1886290,0.6,15001
Q5,connect.dat,68343,0.6,11549
Q6,connect.dat,930,0.6,16695
Q7,connect.dat,68188,0.6,4149
Q8,connect.dat,0,0.6,1
Q9,connect.dat,68343,0.6,3826
Q1,connect.dat,533975,0.8,9488
Q2,connect.dat,15107,0.8,802
Q3,connect.dat,673,0.8,8003
Q4,connect.dat,1737254,0.8,15001
Q5,connect.dat,15107,0.8,2280
Q6,connect.dat,976,0.8,15100
Q7,connect.dat,14988,0.8,726
Q8,connect.dat,0,0.8,1
Q9,connect.dat,15107,0.8,638
Q1,pumsb.dat,511242,0.2,15001
Q2,pumsb.dat,98623,0.2,15001
Q3,pumsb.dat,27,0.2,15314
Q4,pumsb.dat,504438,0.2,15001
Q5,pumsb.dat,77610,0.2,15001
Q6,pumsb.dat,1614,0.2,15028
Q7,pumsb.dat,82800,0.2,15001
Q8,pumsb.dat,79130,0.2,15001
Q9,pumsb.dat,77892,0.2,15001
Q1,pumsb.dat,463007,0.4,15001
Q2,pumsb.dat,118620,0.4,15001
Q3,pumsb.dat,125,0.4,17464
