Query,File,Itemset,Frequency,Duration,Density,Nb_unique_itemset,Nb_transactions
Q1,anneal.dat,9464267,0.2,15001,0.4777777777777778,90,812
Q2,anneal.dat,626387,0.2,6066,0.4777777777777778,90,812
Q3,anneal.dat,4,0.2,15142,0.4777777777777778,90,812
Q4,anneal.dat,12825609,0.2,15001,0.4777777777777778,90,812
Q5,anneal.dat,2632403,0.2,15001,0.4777777777777778,90,812
Q6,anneal.dat,352724,0.2,15001,0.4777777777777778,90,812
Q7,anneal.dat,626386,0.2,8368,0.4777777777777778,90,812
Q8,anneal.dat,16406,0.2,142,0.4777777777777778,90,812
Q9,anneal.dat,609981,0.2,5256,0.4777777777777778,90,812
Q1,anneal.dat,9495736,0.4,15001,0.4777777777777778,90,812
Q2,anneal.dat,128716,0.4,1134,0.4777777777777778,90,812
Q3,anneal.dat,324,0.4,16035,0.4777777777777778,90,812
Q4,anneal.dat,10803730,0.4,15001,0.4777777777777778,90,812
Q5,anneal.dat,2808573,0.4,15001,0.4777777777777778,90,812
Q6,anneal.dat,489191,0.4,15001,0.4777777777777778,90,812
Q7,anneal.dat,128715,0.4,1364,0.4777777777777778,90,812
Q8,anneal.dat,449,0.4,4,0.4777777777777778,90,812
Q9,anneal.dat,128267,0.4,974,0.4777777777777778,90,812
Q1,anneal.dat,9847013,0.6,15001,0.4777777777777778,90,812
Q2,anneal.dat,18724,0.6,165,0.4777777777777778,90,812
Q3,anneal.dat,1016,0.6,1799,0.4777777777777778,90,812
Q4,anneal.dat,11181583,0.6,15001,0.4777777777777778,90,812
Q5,anneal.dat,2878200,0.6,15001,0.4777777777777778,90,812
Q6,anneal.dat,559277,0.6,15001,0.4777777777777778,90,812
Q7,anneal.dat,18723,0.6,175,0.4777777777777778,90,812
Q8,anneal.dat,0,0.6,0,0.4777777777777778,90,812
Q9,anneal.dat,18724,0.6,149,0.4777777777777778,90,812
Q1,anneal.dat,224386,0.8,352,0.4777777777777778,90,812
Q2,anneal.dat,1429,0.8,11,0.4777777777777778,90,812
Q3,anneal.dat,152,0.8,85,0.4777777777777778,90,812
Q4,anneal.dat,11086641,0.8,15001,0.4777777777777778,90,812
Q5,anneal.dat,2909785,0.8,15001,0.4777777777777778,90,812
Q6,anneal.dat,511814,0.8,15001,0.4777777777777778,90,812
Q7,anneal.dat,1428,0.8,17,0.4777777777777778,90,812
Q8,anneal.dat,0,0.8,1,0.4777777777777778,90,812
Q9,anneal.dat,1429,0.8,10,0.4777777777777778,90,812
Q1,chess.dat,6081108,0.2,15001,0.5,76,3196
Q2,chess.dat,2514121,0.2,15001,0.5,76,3196
Q3,chess.dat,10352,0.2,15002,0.5,76,3196
Q4,chess.dat,8902147,0.2,15001,0.5,76,3196
Q5,chess.dat,1113228,0.2,15001,0.5,76,3196
Q6,chess.dat,682987,0.2,15001,0.5,76,3196
Q7,chess.dat,1737369,0.2,15001,0.5,76,3196
Q8,chess.dat,2777513,0.2,15001,0.5,76,3196
Q9,chess.dat,2207641,0.2,15001,0.5,76,3196
Q1,chess.dat,5982746,0.4,15001,0.5,76,3196
Q2,chess.dat,1366834,0.4,7111,0.5,76,3196
Q3,chess.dat,37929,0.4,11519,0.5,76,3196
Q4,chess.dat,9160454,0.4,15001,0.5,76,3196
Q5,chess.dat,1171834,0.4,15001,0.5,76,3196
Q6,chess.dat,818837,0.4,15001,0.5,76,3196
Q7,chess.dat,1366807,0.4,10571,0.5,76,3196
Q8,chess.dat,251562,0.4,1349,0.5,76,3196
Q9,chess.dat,1115272,0.4,6111,0.5,76,3196
Q1,chess.dat,255986,0.6,655,0.5,76,3196
Q2,chess.dat,98778,0.6,520,0.5,76,3196
Q3,chess.dat,3374,0.6,643,0.5,76,3196
Q4,chess.dat,8967104,0.6,15001,0.5,76,3196
Q5,chess.dat,1181053,0.6,15001,0.5,76,3196
Q6,chess.dat,781114,0.6,15001,0.5,76,3196
Q7,chess.dat,98752,0.6,838,0.5,76,3196
Q8,chess.dat,12266,0.6,64,0.5,76,3196
Q9,chess.dat,86512,0.6,469,0.5,76,3196
Q1,chess.dat,8283,0.8,21,0.5,76,3196
Q2,chess.dat,5114,0.8,25,0.5,76,3196
Q3,chess.dat,228,0.8,31,0.5,76,3196
Q4,chess.dat,8991987,0.8,15001,0.5,76,3196
Q5,chess.dat,1161749,0.8,15001,0.5,76,3196
Q6,chess.dat,872028,0.8,15001,0.5,76,3196
Q7,chess.dat,5096,0.8,37,0.5,76,3196
Q8,chess.dat,182,0.8,1,0.5,76,3196
Q9,chess.dat,4932,0.8,23,0.5,76,3196
Q1,connect.dat,675653,0.2,15001,0.3384615384615385,130,67557
Q2,connect.dat,145908,0.2,15001,0.3384615384615385,130,67557
Q3,connect.dat,1,0.2,46805,0.3384615384615385,130,67557
Q4,connect.dat,1560213,0.2,15001,0.3384615384615385,130,67557
Q5,connect.dat,103712,0.2,15001,0.3384615384615385,130,67557
Q6,connect.dat,23828,0.2,15001,0.3384615384615385,130,67557
Q7,connect.dat,208813,0.2,15001,0.3384615384615385,130,67557
Q8,connect.dat,13881,0.2,686,0.3384615384615385,130,67557
Q9,connect.dat,199126,0.2,15001,0.3384615384615385,130,67557
Q1,connect.dat,633803,0.4,15001,0.3384615384615385,130,67557
Q2,connect.dat,143630,0.4,15001,0.3384615384615385,130,67557
Q3,connect.dat,1,0.4,30131,0.3384615384615385,130,67557
Q4,connect.dat,1533531,0.4,15001,0.3384615384615385,130,67557
Q5,connect.dat,106193,0.4,15001,0.3384615384615385,130,67557
Q6,connect.dat,29987,0.4,15001,0.3384615384615385,130,67557
Q7,connect.dat,200658,0.4,15001,0.3384615384615385,130,67557
Q8,connect.dat,0,0.4,2,0.3384615384615385,130,67557
Q9,connect.dat,208424,0.4,15001,0.3384615384615385,130,67557
Q1,connect.dat,641017,0.6,15001,0.3384615384615385,130,67557
Q2,connect.dat,68350,0.6,5938,0.3384615384615385,130,67557
Q3,connect.dat,13,0.6,15258,0.3384615384615385,130,67557
Q4,connect.dat,1813333,0.6,15001,0.3384615384615385,130,67557
Q5,connect.dat,105383,0.6,15001,0.3384615384615385,130,67557
Q6,connect.dat,23476,0.6,15001,0.3384615384615385,130,67557
Q7,connect.dat,68341,0.6,4526,0.3384615384615385,130,67557
Q8,connect.dat,0,0.6,2,0.3384615384615385,130,67557
Q9,connect.dat,68350,0.6,4373,0.3384615384615385,130,67557
Q1,connect.dat,534232,0.8,11671,0.3384615384615385,130,67557
Q2,connect.dat,15112,0.8,908,0.3384615384615385,130,67557
Q3,connect.dat,676,0.8,8976,0.3384615384615385,130,67557
Q4,connect.dat,1764221,0.8,15001,0.3384615384615385,130,67557
Q5,connect.dat,104723,0.8,15001,0.3384615384615385,130,67557
Q6,connect.dat,30196,0.8,15001,0.3384615384615385,130,67557
Q7,connect.dat,15104,0.8,860,0.3384615384615385,130,67557
Q8,connect.dat,0,0.8,3,0.3384615384615385,130,67557
Q9,connect.dat,15112,0.8,729,0.3384615384615385,130,67557
Q1,pumsb.dat,601214,0.2,15001,0.0354777672658467,2114,49046
Q2,pumsb.dat,113784,0.2,15001,0.0354777672658467,2114,49046
Q3,pumsb.dat,28,0.2,18896,0.0354777672658467,2114,49046
Q4,pumsb.dat,614547,0.2,15001,0.0354777672658467,2114,49046
Q5,pumsb.dat,69859,0.2,15001,0.0354777672658467,2114,49046
Q6,pumsb.dat,603,0.2,15115,0.0354777672658467,2114,49046
Q7,pumsb.dat,94469,0.2,15001,0.0354777672658467,2114,49046
Q8,pumsb.dat,97353,0.2,15001,0.0354777672658467,2114,49046
Q9,pumsb.dat,79793,0.2,15001,0.0354777672658467,2114,49046
Q1,pumsb.dat,543714,0.4,15001,0.0354777672658467,2114,49046
Q2,pumsb.dat,122081,0.4,15001,0.0354777672658467,2114,49046
Q3,pumsb.dat,83,0.4,17749,0.0354777672658467,2114,49046
Q4,pumsb.dat,611889,0.4,15001,0.0354777672658467,2114,49046
Q5,pumsb.dat,71124,0.4,15001,0.0354777672658467,2114,49046
Q6,pumsb.dat,630,0.4,15019,0.0354777672658467,2114,49046
Q7,pumsb.dat,144411,0.4,15001,0.0354777672658467,2114,49046
Q8,pumsb.dat,0,0.4,12,0.0354777672658467,2114,49046
Q9,pumsb.dat,122049,0.4,15001,0.0354777672658467,2114,49046
Q1,pumsb.dat,871873,0.6,15001,0.0354777672658467,2114,49046
Q2,pumsb.dat,176570,0.6,15001,0.0354777672658467,2114,49046
Q3,pumsb.dat,757,0.6,15795,0.0354777672658467,2114,49046
Q4,pumsb.dat,588335,0.6,15001,0.0354777672658467,2114,49046
Q5,pumsb.dat,66700,0.6,15005,0.0354777672658467,2114,49046
Q6,pumsb.dat,657,0.6,15018,0.0354777672658467,2114,49046
Q7,pumsb.dat,143824,0.6,15001,0.0354777672658467,2114,49046
