Query,File,Itemset,Frequency,Duration
Q1,anneal.dat,13054328,0.2,15001
Q2,anneal.dat,620746,0.2,2882
Q3,anneal.dat,35,0.2,69269
Q4,anneal.dat,13640605,0.2,15001
Q5,anneal.dat,866553,0.2,4954
Q6,anneal.dat,4127,0.2,15022
Q7,anneal.dat,612561,0.2,3644
Q8,anneal.dat,16142,0.2,215
Q9,anneal.dat,604604,0.2,2467
Q1,anneal.dat,10883523,0.4,15001
Q2,anneal.dat,127376,0.4,445
Q3,anneal.dat,765,0.4,163376
Q4,anneal.dat,12356075,0.4,15001
Q5,anneal.dat,137563,0.4,713
Q6,anneal.dat,5949,0.4,15141
Q7,anneal.dat,127322,0.4,638
Q8,anneal.dat,434,0.4,7
Q9,anneal.dat,126942,0.4,441
Q1,anneal.dat,10736994,0.6,15001
Q2,anneal.dat,18485,0.6,61
Q3,anneal.dat,986,0.6,27934
Q4,anneal.dat,12536689,0.6,15001
Q5,anneal.dat,18539,0.6,84
Q6,anneal.dat,3142,0.6,6782
Q7,anneal.dat,18433,0.6,94
Q8,anneal.dat,0,0.6,1
Q9,anneal.dat,18485,0.6,62
Q1,anneal.dat,215821,0.8,291
Q2,anneal.dat,1395,0.8,5
Q3,anneal.dat,147,0.8,94
Q4,anneal.dat,12423037,0.8,15001
Q5,anneal.dat,1394,0.8,5
Q6,anneal.dat,558,0.8,123
Q7,anneal.dat,1354,0.8,10
Q8,anneal.dat,0,0.8,0
Q9,anneal.dat,1395,0.8,5
Q1,chess.dat,7065554,0.2,15001
Q2,chess.dat,2650925,0.2,15001
Q3,chess.dat,7921,0.2,15001
Q4,chess.dat,11033292,0.2,15001
Q5,chess.dat,907917,0.2,15001
Q6,chess.dat,20863,0.2,15001
Q7,chess.dat,1816081,0.2,15001
Q8,chess.dat,2463565,0.2,15001
Q9,chess.dat,2305641,0.2,15001
Q1,chess.dat,6439702,0.4,13293
Q2,chess.dat,1361157,0.4,8466
Q3,chess.dat,33322,0.4,15001
Q4,chess.dat,11179057,0.4,15001
Q5,chess.dat,986153,0.4,15001
Q6,chess.dat,32419,0.4,15012
Q7,chess.dat,1358603,0.4,10135
Q8,chess.dat,250397,0.4,1518
Q9,chess.dat,1110760,0.4,6631
Q1,chess.dat,254944,0.6,524
Q2,chess.dat,98392,0.6,564
Q3,chess.dat,3323,0.6,428
Q4,chess.dat,11126315,0.6,15001
Q5,chess.dat,98418,0.6,1194
Q6,chess.dat,4735,0.6,994
Q7,chess.dat,96959,0.6,696
Q8,chess.dat,12203,0.6,76
Q9,chess.dat,86189,0.6,481
Q1,chess.dat,8227,0.8,17
Q2,chess.dat,5083,0.8,28
Q3,chess.dat,226,0.8,20
Q4,chess.dat,11094358,0.8,15001
Q5,chess.dat,5083,0.8,46
Q6,chess.dat,405,0.8,31
Q7,chess.dat,4635,0.8,35
Q8,chess.dat,181,0.8,1
Q9,chess.dat,4902,0.8,25
Q1,connect.dat,945600,0.2,15001
Q2,connect.dat,346874,0.2,15001
Q3,connect.dat,730,0.2,15002
Q4,connect.dat,2022713,0.2,15001
Q5,connect.dat,103083,0.2,15001
Q6,connect.dat,786,0.2,15325
Q7,connect.dat,428175,0.2,15001
Q8,connect.dat,13877,0.2,622
Q9,connect.dat,456092,0.2,15001
Q1,connect.dat,934413,0.4,15001
Q2,connect.dat,239372,0.4,11108
Q3,connect.dat,520,0.4,15004
Q4,connect.dat,2046233,0.4,15001
Q5,connect.dat,96038,0.4,15001
Q6,connect.dat,744,0.4,15331
Q7,connect.dat,239181,0.4,9560
Q8,connect.dat,0,0.4,1
Q9,connect.dat,239372,0.4,9245
Q1,connect.dat,884197,0.6,15001
Q2,connect.dat,68343,0.6,3133
Q3,connect.dat,854,0.6,15048
Q4,connect.dat,2023245,0.6,15001
Q5,connect.dat,68343,0.6,10323
Q6,connect.dat,933,0.6,18640
Q7,connect.dat,68188,0.6,2661
Q8,connect.dat,0,0.6,1
Q9,connect.dat,68343,0.6,2559
Q1,connect.dat,533975,0.8,8978
Q2,connect.dat,15107,0.8,609
Q3,connect.dat,673,0.8,3089
Q4,connect.dat,2009893,0.8,15001
Q5,connect.dat,15107,0.8,2024
Q6,connect.dat,976,0.8,13901
Q7,connect.dat,14988,0.8,515
Q8,connect.dat,0,0.8,2
Q9,connect.dat,15107,0.8,498
Q1,pumsb.dat,843789,0.2,15001
Q2,pumsb.dat,196852,0.2,15001
