Query,File,Itemset,Frequency,Duration
Q1,anneal.dat,1170587,0.2,15001
Q2,anneal.dat,571065,0.2,15001
Q3,anneal.dat,1298,0.2,15001
Q4,anneal.dat,176946128,0.2,15001
Q5,anneal.dat,19926,0.2,15172
Q6,anneal.dat,36720,0.2,15005
Q7,anneal.dat,575094,0.2,15042
Q8,anneal.dat,16142,0.2,15167
Q9,anneal.dat,571037,0.2,15124
Q1,anneal.dat,684735,0.4,15001
Q2,anneal.dat,127376,0.4,4293
Q3,anneal.dat,3850,0.4,15001
Q4,anneal.dat,211338121,0.4,15001
Q5,anneal.dat,10341,0.4,15084
Q6,anneal.dat,2947,0.4,15005
Q7,anneal.dat,127322,0.4,4365
Q8,anneal.dat,434,0.4,4688
Q9,anneal.dat,126942,0.4,4382
Q1,anneal.dat,558493,0.6,15001
Q2,anneal.dat,18485,0.6,723
Q3,anneal.dat,986,0.6,306
Q4,anneal.dat,231713764,0.6,15001
Q5,anneal.dat,26086,0.6,15718
Q6,anneal.dat,32760,0.6,15002
Q7,anneal.dat,18433,0.6,750
Q8,anneal.dat,0,0.6,797
Q9,anneal.dat,18485,0.6,792
Q1,anneal.dat,215821,0.8,6662
Q2,anneal.dat,1395,0.8,71
Q3,anneal.dat,147,0.8,14
Q4,anneal.dat,232231256,0.8,15001
Q5,anneal.dat,15911,0.8,15086
Q6,anneal.dat,558,0.8,15003
Q7,anneal.dat,1354,0.8,74
Q8,anneal.dat,0,0.8,75
Q9,anneal.dat,1395,0.8,73
Q1,chess.dat,463628,0.2,15001
Q2,chess.dat,183445,0.2,15001
Q3,chess.dat,29457,0.2,15001
Q4,chess.dat,230318269,0.2,15001
Q5,chess.dat,14269,0.2,15071
Q6,chess.dat,72956,0.2,15002
Q7,chess.dat,176450,0.2,15005
Q8,chess.dat,132585,0.2,15035
Q9,chess.dat,44487,0.2,15017
Q1,chess.dat,206618,0.4,15001
Q2,chess.dat,80302,0.4,15001
Q3,chess.dat,38050,0.4,9071
Q4,chess.dat,230900504,0.4,15001
Q5,chess.dat,8865,0.4,30510
Q6,chess.dat,3129,0.4,15001
Q7,chess.dat,80071,0.4,15003
Q8,chess.dat,74956,0.4,15013
Q9,chess.dat,4371,0.4,15006
Q1,chess.dat,135867,0.6,15001
Q2,chess.dat,55601,0.6,15001
Q3,chess.dat,3323,0.6,90
Q4,chess.dat,230695391,0.6,15001
Q5,chess.dat,14402,0.6,26438
Q6,chess.dat,46496,0.6,15001
Q7,chess.dat,55266,0.6,15002
Q8,chess.dat,12203,0.6,15008
Q9,chess.dat,43719,0.6,15006
Q1,chess.dat,8227,0.8,832
Q2,chess.dat,5083,0.8,991
Q3,chess.dat,226,0.8,14
Q4,chess.dat,228790773,0.8,15001
Q5,chess.dat,5083,0.8,3771
Q6,chess.dat,405,0.8,1680
Q7,chess.dat,4635,0.8,1032
Q8,chess.dat,181,0.8,1078
Q9,chess.dat,4902,0.8,1059
Q1,connect.dat,11937,0.2,15003
Q2,connect.dat,6625,0.2,15001
Q3,connect.dat,11547,0.2,15001
